Saigo no Nindou - Ninja Spirit (J)
Salamander (J)	沙罗曼蛇(日)
Samurai-Ghost (U)	源平讨魔传(美)
Sekigahara (J)	关原之役(日)
Sengoku Mahjong (J)	战国麻雀(日)
Shanghai (J)	上海(日)
Shinobi (J)	忍(日)
Shiryou Sensen (J)	死灵战线 (日)
Shockman (U)	改造超人(美)
Shougi Shodan Icchokusen (J)	将棋-初段一直线(日)
Shougi Shoshinsha Muyou (J)	将棋-初心者无用(日)
SideArms - Hyper Dyne (J)	绝对合体(日)
SideArms - Hyper Dyne (U)	绝对合体(美)
Silent Debuggers (J)	宇宙警备队(日)
Silent Debuggers (U)	宇宙警备队(美)
Sindibad Chitei no Dai Makyuu (J)
Sinistron (U)	激烈战斗(美)
Skweek (J)	毛球历险记(日)
Soldier Blade (J)	太空军鉴(日)
Soldier Blade (U)	太空军鉴(美)
Soldier Blade Special - Caravan Stage (J)	太空军鉴(日)
Somer Assault (U)	以牙还牙(美)
Son Son II (J)	西游记２(日)
Sonic Spike - World Championship Beach Volleyball (U)	沙滩排球(美)
Soukoban World (J)	仓库番 (日)
Space Harrier (J)	时空战士(日)
Space Harrier (U)	时空战士(美)
Space Invaders - Fukkatsu no Hi (J)	太空入侵者(日)
Special Criminal Investigation (J)
Spin Pair (J)	钻石方块(日)
Spiral Wave (J)	旋风任务(日)
Splatterhouse (J)	鬼屋(日)
Splatterhouse (U)	鬼屋(美)
Stratego (J)	开心苹果棋(日)
Street Fighter II' - Champion Edition (J)	快打旋风2(日)
Strip Fighter II (J)	女人快打(日)
Super Metal Crusher (J)	超级金属杀手(日)
Super Momotarou Dentetsu (J)	桃太郎电铁(日)
Super Momotarou Dentetsu II (J)	桃太郎电铁2(日)
Super Star Soldier (J)	星霊鹗(日)
Super Star Soldier (U)	星霊鹗(美)
Super Volleyball (J)	超级排球(日)
Super Volleyball (U)	超级排球(美)
Susanoo Densetsu (J)	凄狂传说(日)
Taito Chase H.Q. (J)
Taito Chase H.Q. (U)
Takahashi Meijin no Shin Boukenjima (J)
Takeda Shingen (J) [a]	武田信玄(日)[a]
Takeda Shingen (J)	武田信玄(日)
Takin' It to the Hoop (U)	美国职业篮球(美)
TaleSpin (U)	泰瑞熊(美)
Tatsujin (J) (Proto)	宇宙达人(日) (Proto)
Tatsujin (J)	宇宙达人(日)
Tatsunoko Fighter (J)
Tennokoe Bank (J)	天之声(日)
Tenseiryuu - Saint Dragon (J)	天圣龙(日)
Terra Cresta II - Mandoraa no Gyakushuu (J)	逆袭２(日)
Thunder Blade (J)	战斗直升机(日)
Tiger Road (U)	虎之道(美)
Time Cruise (U)	弹珠台(美)
Time Cruise II (J)	弹珠台2(日)
Timeball (U)	时光球(美)
Titan (J)	泰坦球(日)
Toilet Kids (J)	马桶小子(日)
Tora heno Michi (J)	虎之道(日)
Toshi Tensou Keikaku - Eternal City (J)	永恒的城市(日)
Tower of Druaga, The (J)	龙之塔(日)
Toy Shop Boys (J)	玩具小子(日)
Tricky (J)	动物金头脑(日)
Tricky Kick (U)	动物金头脑(美)
Tsuppari Oozumou - Heisei Ban (J)
